# Reference time: 2020-04-15 08:48:05.557
#
# Each line represents a single LED (low energy detector) count.
#
# tus -- time of the count, microsecond
# erg -- energy of the count in channel units
# dau -- DAU (detector assembly unit) of the count (there are four DAUs: 0, 1, 2, 3)
# add -- address of the count within the DAU (each DAU has 32 addresses: [0:31])
# chn -- channel of the count for each address (each address has 128 channels: [0:127])
# mlh -- "multihit" flag of the count, meaning how many simultaneous counts were detected: [0:3]
#         0 --> a single count
#         1 --> 2 counts
#         2 --> 3 counts
#         3 --> 4+ counts
#
#
#
#     tus      erg   dau  add    chn   mlh
#
 -873125     665    2    21     45    0 
 -872769    1023    2    31    127    1 
 -872692     881    3    29     25    0 
 -872091     209    0     2     42    0 
 -871773     306    2     9     28    0 
 -871773     253    2    18     33    0 
 -871690     375    3    15     25    0 
 -871633     188    1     3     85    0 
 -871068     411    0    27    124    0 
 -870925     638    3    24     46    0 
 -870925     852    0    17     10    0 
 -870925     854    1    14     94    0 
 -870925    1022    0    31    127    3 
 -870925    1023    1     7    127    3 
 -870925     999    3    15    126    1 
 -870925     388    3    18     46    0 
 -870924     273    2    25     91    0 
 -870923     184    0    25     90    0 
 -870766    1010    0    21    127    1 
 -870592     482    2    25      2    0 
 -870170     877    0    26     42    0 
 -870169     423    1     2     45    0 
 -869844     263    1     6     28    0 
 -869811    1023    1    23    125    1 
 -869766     694    2    17     95    0 
 -869617     929    1     3     41    0 
 -869612     706    3    27     17    0 
 -869579     931    1     3     41    0 
 -869498     664    1     4     25    0 
 -869464     284    0     8     22    0 
 -869117     596    3    19     36    0 
 -868411     894    2    30      5    0 
 -868411     549    0     4      9    0 
 -868406     174    2    30     28    0 
 -868367     888    0    10     71    0 
 -868367     840    1    18     71    0 
 -868238     514    2    14     29    0 
 -868221     922    1    23    111    0 
 -868221     472    0    31      2    0 
 -867881     905    2     6     55    0 
 -867742     711    0    26      3    0 
 -867494     828    1    14     83    0 
 -866683     715    3    14    110    0 
 -866143     631    0     1    115    0 
 -866037     846    2    12    119    1 
 -866032     167    2    12     58    0 
 -865222     246    3    25     38    0 
 -864776     799    1    27    127    1 
 -864101     347    3     8    121    0 
 -863870     851    0    17     39    0 
 -863737     423    2     1    112    0 
 -863304     488    2    25     25    0 
 -863200     522    0    13     77    1 
 -862955     387    3     4     85    0 
 -862938    1023    2    31    127    1 
 -862937     845    0    19    111    0 
 -862937     900    2    11    102    0 
 -862937     286    2    20     86    0 
 -862937     994    0     3     14    2 
 -862937     627    0    30    123    0 
 -862733     211    1    22     39    0 
 -862711    1008    1    27    113    1 
 -862514     316    1    22     51    0 
 -862425     748    3     7     86    1 
 -862424     171    3    13     47    0 
 -862420     154    3     7     86    0 
 -861286     675    2    29     86    0 
 -861283     933    1     0    108    0 
 -860693    1023    1    23    123    1 
 -860590     919    1    19     13    0 
 -860590     875    1    27     88    0 
 -859650     405    3     7     44    0 
 -859572     877    3    22      3    0 
 -859029     936    1     5    124    0 
 -858701     716    1     1     46    0 
 -858640     912    0    15     88    0 
 -858640     890    2    28     44    0 
 -858639     642    2    17    110    0 
 -858634     154    2    28     10    0 
 -856861    1022    0    27    119    1 
 -856635     469    0    20     89    0 
 -856116     203    1     1     17    0 
