# Reference time: 2020-04-15 08:48:05.557
#
# Each line represents a single HED count.
#
# tus -- time of the count, microsecond
# ttk -- submicrosecond time of the count, in units of 1/36e6 s (which means 1/36 of a microsecond)
# erg -- energy of the count in channel units
# dau -- DAU (detector assembly unit) of the count (there are four DAUs: 0, 1, 2, 3)
# det -- detector of the count within the DAU (each DAU has three detectors: 0, 1, 2)
# typ -- type of the count: 0 corresponds to NORMAL event, 1 corresponds to FAST event
#
#
#
#    tus    ttk     erg   dau  det  typ
#
-943774    26     241    2    1    0 
-943731    33      56    0    2    0 
-943683     7      43    3    2    0 
-943683     8     631    3    1    0 
-943293    27      45    3    2    0 
-943240     9      31    1    0    0 
-943161    34      62    2    2    0 
-942989     7     103    3    0    0 
-942986     1      34    3    1    0 
-942264    35      19    2    0    0 
-942264    35     505    3    0    0 
-942263     3      37    3    1    0 
-941949     7    1820    0    0    0 
-941949    13     594    2    1    0 
-941715     1     398    0    0    0 
-941597    29      97    2    0    0 
-940841    35     209    1    0    0 
-940065     3     172    0    2    0 
-939856     1      67    0    1    0 
-939363    12      46    0    0    0 
-939258    18     332    3    2    0 
-939258    19     172    2    1    0 
-939258    20      36    2    2    0 
-939183    22     111    1    2    0 
-939141     9      70    1    2    0 
-938980    23     133    1    0    0 
-938585    12      93    0    0    0 
-938492     8      35    3    2    0 
-938410    26      55    3    0    0 
-938251    17      19    2    1    0 
-937296    26    2089    0    2    0 
-937296    27    1761    1    0    0 
-937296    33     225    1    1    0 
-937138     6      36    2    1    0 
-936906    34    1843    0    0    0 
-936906    35    1912    0    2    0 
-936906    35    1833    3    2    0 
-936905     3      78    3    0    0 
-936905     3     147    3    1    0 
-936905     4      34    1    2    0 
-936905     5     373    1    0    0 
-936905     5      33    1    1    0 
-936791    23      43    0    1    0 
-936720    15      79    1    2    0 
-936654    10    1559    1    1    0 
-936654    14     132    1    0    0 
-936526     1      67    3    1    0 
-936526     1    1209    3    0    0 
-936526     2     159    3    2    0 
-936308    17    1747    3    2    0 
-935889    17    1508    1    0    0 
-935768    27    1330    2    1    0 
-935284     6     107    3    2    0 
-935097     1      61    3    0    0 
-935026    29     116    1    1    0 
-935015    29    1431    0    0    0 
-934090     3      42    0    0    0 
-933930    17      39    0    2    0 
-933930    18     355    0    1    0 
-933926    18      61    2    2    0 
-933804    31      41    0    0    0 
-933261    19    1820    0    0    0 
-933261    20    1600    2    1    0 
-933261    25     280    2    2    0 
-933261    25      51    0    1    0 
-933261    25      38    0    2    0 
-933261    25     638    2    0    0 
-932978    14     708    1    1    0 
-932666    18      36    3    0    0 
-932524    31     405    1    2    0 
-932437    33    1850    3    0    0 
-932351     9    1765    3    2    0 
-932188     3      40    3    2    0 
-932003    28      42    1    2    0 
-932003    28      68    1    1    0 
-931661    23      26    2    2    0 
